lastfm_artist_id	lastfm_artist_name	spotify_artist_id	spotify_artist_name	similarity_score
34	Icon of Coil	4trD4SoBB4R39txNX3Y96T	Icon Of Coil	1.0
36	KMFDM	3V4IvzRQYP5mzuVtkcHgVa	KMFDM	1.0
37	Funker Vogt	6OSOjC1W6jRkFKKS35TnkK	Funker Vogt	1.0
38	Dawn of Ashes	35Uzsa9o0tZkdC4ZBtXuNV	Dawn Of Ashes	1.0
39	Sopor Aeternus & The Ensemble of Shadows	4DJ9mOfSKt9vg0Zhlwf6te	Sopor Aeternus & The Ensemble Of Shadows	1.0
40	The Faint	4A1yfFuBmBOgzv4Oe3fFHk	The Faint	1.0
41	God Module	1DoGu017HBH9armSl4M0Sb	God Module	1.0
43	Noisuf-X	5Ugr8SZik8bMfgldDbJecL	Noisuf-X	1.0
44	Das Ich	7LhCMNjTNM9R2a0fajH9l8	Das Ich	1.0
45	Mindless Self Indulgence	5R5MLOQbI4lb7GHYioPqoN	Mindless Self Indulgence	1.0
46	Pyotr Ilyich Tchaikovsky	3MKCzCnpzw3TjUYs2v7vDA	Pyotr Ilyich Tchaikovsky	1.0
47	Emperor	6jPWrSmxOd9mj7Xaj4EP2Y	Emperor	1.0
48	Anorexia Nervosa	1hLFppCfgvSTH9C6ftWOoU	Anorexia Nervosa	1.0
49	Reaper	24kY0bUku58QhWv5WFFXaf	REAPER	1.0
50	Gothminister	2S3xwpueZpPVUDTTv7Wefx	Gothminister	1.0
51	Duran Duran	0lZoBs4Pzo7R89JM9lxwoT	Duran Duran	1.0
52	Morcheeba	6bWxFw65IEJzBYjx3SxUXd	Morcheeba	1.0
53	Air	1P6U1dCeHxPui5pIrGmndZ	Air	1.0
54	Hooverphonic	5EP020iZcwBqHRnJftibXX	Hooverphonic	1.0
55	Kylie Minogue	4RVnAU35WRWra6OZ3CbbMA	Kylie Minogue	1.0
56	Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Daft Punk	1.0
57	Thievery Corporation	25KNo5GDS6ZpLkjasaecA3	Thievery Corporation	1.0
58	Goldfrapp	5BKsn7SCN2XmbF7apdCpRS	Goldfrapp	1.0
59	New Order	0yNLKJebCb8Aueb54LYya3	New Order	1.0
60	Matt Bianco	1WQky50vkzSvSCUl0ejWqb	Matt Bianco	1.0
61	Talk Talk	7Fo8TAyGJr4VmhE68QamMf	Talk Talk	1.0
62	Prefab Sprout	4w3QqrcmBv8dasemwBXmxf	Prefab Sprout	1.0
63	Enigma	3DmG65yHQsMms7WAvrZOdt	Enigma	1.0
64	Röyksopp	5nPOO9iTcrs9k6yFffPxjH	Röyksopp	1.0
65	Coldplay	4gzpq5DPGxSnKTe4SA8HAU	Coldplay	1.0
66	Faithless	5T4UKHhr4HGIC0VzdZQtAE	Faithless	1.0
67	Madonna	6tbjWDEIzxoDsBA1FuhfPW	Madonna	1.0
68	Icehouse	3IUisqn0mluZR0LITs8Sqk	ICEHOUSE	1.0
69	Sade	6V394G6torkxVfqL39qEgK	All Artist Adella	0.38095238095238093
70	Moby	3OsRAKCvk37zwYcnzRf5XF	Moby	1.0
71	Dido	2mpeljBig2IXLXRAFO9AAs	Dido	1.0
72	Depeche Mode	762310PdDnwsDxAQxzQkfX	Depeche Mode	1.0
73	Café Del Mar	4L74W177Wc8s7WrQHbVaXt	Café del Mar	1.0
74	Basia	4mITrNyXdPhy8phBHPgAHk	Basia	1.0
75	Camouflage	2YTbBGa3Tf2rRPhiJxWoUN	Camouflage	1.0
76	Electronic	3xYNGCooNIzKMAtJYKSOyq	Electronic	1.0
77	George Michael	19ra5tSw0tWufvUp8GotLo	George Michael	1.0
78	The Adventures	6ZXLmQi3SPQEh8mXNDldRC	The Adventures	1.0
79	Fiction Factory	6T6T5RCps6bHzTSDq8pyFj	Fiction Factory	1.0
80	Groove Armada	67tgMwUfnmqzYsNAtnP6YJ	Groove Armada	1.0
81	Portishead	6liAMWkVf5LH7YR9yfFy1Y	Portishead	1.0
82	Marc Almond	7nBZYpVAH6bD0QlD7Mpil7	Marc Almond	1.0
83	Cock Robin	1MOoTIFOvJ60ATvyRXPPXg	Cock Robin	1.0
84	Cut Copy	4EENT7N7rCBwrddM3s0vFS	Cut Copy	1.0
85	Spandau Ballet	2urZrEdsq72kx0UzfYN8Yv	Spandau Ballet	1.0
86	Katie Melua	5uCXJWo3WoXgqv3T1RlAbh	Katie Melua	1.0
87	Deacon Blue	5jqKIZLB5WA5KquEihB3ND	Deacon Blue	1.0
88	Gorillaz	3AA28KZvwAUcZuOKwyblJQ	Gorillaz	1.0
89	Lady Gaga	1HY2Jd0NmPuamShAr6KMms	Lady Gaga	1.0
90	Kosheen	5squ8uM6fhMQY71t9xobJC	Kosheen	1.0
91	Nik Kershaw	7kCL98rPFsNKjAHDmWrMac	Nik Kershaw	1.0
92	Vitamin Z	3L9jctKWesrpUYw6IpmdUg	Vitamin Z	1.0
93	Jean-Michel Jarre	5MhLmv7GgyjbxGqiIGasvT	Jean-Michel Jarre	1.0
94	Ministry of Sound	3H4Zn4hj57wJGZt22ZTWCX	Ministry of Sound	1.0
95	Simply Red	1fa0cOhromAZdq2xRA4vv8	Simply Red	1.0
96	Fleetwood Mac	08GQAI4eElDnROBrJRGE0X	Fleetwood Mac	1.0
97	Duffy	37NqXwtb6nIEqRt4EJSoIO	Duffy	1.0
98	Japan	7vPXrGlSGukcwpaPxUfKKR	Japan	1.0
99	INXS	1eClJfHLoDI4rZe5HxzBFv	INXS	1.0
100	ABC	2s79xe5F6eUQkjwjww27Fh	ABC	1.0
101	Pleq	3KM3C5enn7uaAOpZ2uUGdO	Pleq	1.0
102	Segue	6l64C1xRcgpmGszthSr4cf	Segue	1.0
103	Max Richter	2VZNmg4vCnew4Pavo8zDdW	Max Richter	1.0
104	Celer	6nDeZk1AU320DQaj8pD80O	Celer	1.0
105	Pjusk	1iqn4OAlsj7UVYzIfNGctq	Pjusk	1.0
106	Pleq & Segue	3R3dtWGfh0rbbPuGpXFdry	Pleq & Segue	1.0
107	Burial	0uCCBpmg6MrPb1KY2msceF	Burial	1.0
108	Magnitophono	5wrQahoPcPAJuNaUm9smkL	Magnitophono	1.0
109	andy graydon	6XnwsvHCKsCUvJsdyfFwN8	Andy Graydon	1.0
110	ddekombinacja	1lCWk4yGEzwH5v4m2pEJsC	Ddekombinacja	1.0
112	Go Koyashiki	2ae7TT2PhbcddjiA11CxXq	Go Koyashiki	1.0
113	Dustin O'Halloran	6UEYawMcp2M4JFoXVOtZEq	Dustin O'Halloran	1.0
114	offthesky	4ONVtyIDcg2al7SsTEGn8t	Offthesky	1.0
115	Nebulo	14VY1u4hBB2tOJutRCXuDE	Nebuloz	0.9230769230769231
116	Fjordne	4Zuhw9hRgeWtX6DLVxxcEh	Fjordne	1.0
118	Spyweirdos	4FCi4Id7cNdZJUTBEOTtNG	Spyweirdos	1.0
120	Deru	4hOrjE6e4JXXzP8syEKGU1	Trundles artist development	0.19354838709677424
121	Lukid	3a2bPqijV6I1SBKKK9ikMg	Lukid	1.0
122	Manekinekod	4xDiNFkRMsjZi8kdjLskCN	Manekinekod	1.0
123	Danny Norbury	5AVdeBRaOsTtoXqQFyPVhE	Danny Norbury	1.0
125	aslope	0Y2gaF1z4Ikt10IWocsHFy	Aslope	1.0
126	The Notwist	1o4xLcugkCtDDOw7POAMha	The Notwist	1.0
127	Off the Sky	34lT36j7M0D59VILLAsdvY	Off The Sky	1.0
128	strom noir	2rd719s1KGy76HJyc6kXe4	Strom Noir	1.0
129	Aless	4AVFqumd2ogHFlRbKIjp1t	Alesso	0.9090909090909091
130	Philippe Lamy	7qSL0LVldFwg0dCxkQ4Pos	Philippe Lamy	1.0
131	Part Timer	1oPbG8AEmYoaQB8wwbK4fq	Part Timer	1.0
132	Deaf Center	0GQJRlsTD8irKEDcClYiiA	Deaf Center	1.0
133	Lauki	77NB7zFfIPV9jwZ4Xmtpn2	Lauki	1.0
134	Big Brotherz	0N7k0rIeJTuLPq0KfmavPZ	Big Brotherz	1.0
135	cokiyu	7zxbGCI5DeZCwpbYXn20it	Cokiyu	1.0
136	Verbose	5sAFZtTEVFvxqDQFwTa9D0	Verbose	1.0
137	Worm Is Green	4inrWs8Lw70piYltyaX9vb	Worm is Green	1.0
138	Library Tapes	2ojlS7imGFiZ8A8tXXGEt7	Library Tapes	1.0
139	Richard Skelton	6BoM37XyiBS6cPNFe43EXo	Richard Skelton	1.0
140	Matryoshka	4NRS2lkQBjAEWBihpcKUGK	matryoshka	1.0
141	Aidan Baker	7wPBSl15ddi9mRCgIllOa9	Aidan Baker	1.0
142	Ylid	497Y5Ti8ocLKYlIHKiuJKx	Ylid	1.0
143	Daisuke Miyatani	00W9E7VkwAsnbpofU3fziZ	Daisuke Miyatani	1.0
144	Dakota Suite	0BFRrMqOHuc1fxGWXMinHd	Dakota Suite	1.0
145	Ryonkt	37iU7pZJElrZrMs145JxaG	Ryonkt	1.0
146	Hird	33nGdwPVGbU7cFuIh9OnTu	Hird	1.0
147	Svarte Greiner	37lOOt5pumxC6rAUAI8cIL	Svarte Greiner	1.0
148	The Boats	12LR7O3LG2tezoEBx1yhRa	The Boats	1.0
149	The Sound Of Lucrecia	0XD1a3uCKiWqcMnADrq489	The Sound of Lucrecia	1.0
150	Porzellan	2Vs4J6p93QK21QGrXektx0	Porzellan	1.0
151	Deep Forest	4pAYkltTzVhqBZuDekCHa3	Deep Forest	1.0
152	Porcupine Tree	5NXHXK6hOCotCF8lvGM1I0	Porcupine Tree	1.0
153	De/Vision	1bN9idF4rgIhaaKFpwgzoQ	De/Vision	1.0
154	Radiohead	4Z8W4fKeB5YxbusRsdQVPb	Radiohead	1.0
155	Robbie Williams	2HcwFjNelS49kFbfvMxQYw	Robbie Williams	1.0
156	VAST	48dSb4OvI8hAPpHqBBYyig	Vast	1.0
157	Michael Jackson	3fMbdgg4jU18AjLCKBhRSm	Michael Jackson	1.0
159	The Cure	7bu3H8JO7d0UbMoVzbo70s	The Cure	1.0
161	Enrique Iglesias	7qG3b048QCHVRO5Pv1T5lw	Enrique Iglesias	1.0
162	God Is an Astronaut	079svMEXkbT5nGU2kfoqO2	God Is An Astronaut	1.0
163	Pink Floyd	0k17h0D3J5VfsdmQ1iZtE9	Pink Floyd	1.0
164	יוני בלוך	4FS0GzGqGYjprZuszU0zXy	יוני בלוך והמלאכיות	0.6428571428571428
165	Planet Funk	4c4Ce4N4vJOs3Tzee020S4	Planet Funk	1.0
166	The Cranberries	7t0rwkOPGlDPEhaOcVtOt9	The Cranberries	1.0
167	Scissor Sisters	3Y10boYzeuFCJ4Qgp53w6o	Scissor Sisters	1.0
170	Mew	4MoCPQEZqegox8Ng6SUGrb	PM Artist Sessions Project	0.13793103448275867
171	Stereophonics	21UJ7PRWb3Etgsu99f8yo8	Stereophonics	1.0
172	Garbage	6S0GHTqz5sxK5f9HtLXn9q	Garbage	1.0
173	Placebo	6RZUqkomCmb8zCRqc9eznB	Placebo	1.0
174	Infected Mushroom	6S2tas4z6DyIklBajDqJxI	Infected Mushroom	1.0
175	Delerium	0IUq1plF3ON4Fboj1bE6kN	Delerium	1.0
176	Scorpions	27T030eWyCQRmDyuvr1kxY	Scorpions	1.0
178	Dolores O'Riordan	55s643XPig11NyYM8do64C	Dolores O'Riordan	1.0
179	Tommy Lee	4b9L0p4cMof32XvjwT9YrX	Tommy Lee	1.0
180	Roxette	2SHhfs4BiDxGQ3oxqf0UHY	Roxette	1.0
181	Paradise Lost	0gIo6kGl4KsCeIbqtZVHYp	Paradise Lost	1.0
182	Keane	53A0W3U0s8diEn9RhXQhVz	Keane	1.0
183	Jamiroquai	6J7biCazzYhU3gM9j1wfid	Jamiroquai	1.0
184	James Blunt	7KMqksf0UMdyA0UCf4R3ux	James Blunt	1.0
185	Reamonn	4VH2QabEORUUhN1F1cYQ6N	Reamonn	1.0
186	Blackfield	3xrzXKnScjOEoy172vsJMW	Blackfield	1.0
187	a-ha	2jzc5TC5TVFLXQlBNiIUzE	a-ha	1.0
188	Opeth	0ybFZ2Ab08V8hueghSXm6E	Opeth	1.0
189	Poets of the Fall	1AZ30JnvQU1pbX6sbRE0Yn	Poets of the Fall	1.0
190	Muse	12Chz98pHFMPJEknJQMWvI	Muse	1.0
191	OneRepublic	5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	1.0
192	Elton John	3PhoLpVuITZKcymswpck5b	Elton John	1.0
193	Tears for Fears	4bthk9UfsYUYdcFyqxmSUU	Tears For Fears	1.0
194	The Tiger Lillies	72o2T9aqYR2PFNYpzYrMmw	The Tiger Lillies	1.0
195	Bright Eyes	5o206eFLx38glA2bb4zqIU	Bright Eyes	1.0
196	Beirut	6pmxr66tMAePxzOLfjGNcX	Beirut	1.0
197	Tom Waits	7x83XhcMbOTl1UdYsPTuZM	Tom Waits	1.0
198	System of a Down	5eAWCfyUhZtHHtBdNk56l1	System Of A Down	1.0
199	Arcade Fire	3kjuyTCjPG1WMFCiyc5IuB	Arcade Fire	1.0
200	Gogol Bordello	2SVw939fwuqSobLjF8u78b	Gogol Bordello	1.0
201	Ленинград	6msPcEZVItJsCUHfvc38rb	Ленинградский диксиленд	0.5625
202	CAKE	6A43Djmhbe9100UwnI7epV	CAKE	1.0
203	Blur	7MhMgCo0Bl0Kukl93PZbYS	Blur	1.0
204	Damien Rice	14r9dR01KeBLFfylVSKCZQ	Damien Rice	1.0
205	Andrew Bird	4uSftVc3FPWe6RJuMZNEe9	Andrew Bird	1.0
206	Beck	3vbKDsSS70ZX9D2OcvbZmS	Beck	1.0
207	Arctic Monkeys	7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	1.0
208	Babyshambles	0IBAqjHG8DSaD7PPCGnGiZ	Babyshambles	1.0
209	My Chemical Romance	7FBcuc1gsnv6Y1nwFtNRCb	My Chemical Romance	1.0
210	Bloc Party	3MM8mtgFzaEJsqbjZBSsHJ	Bloc Party	1.0
211	The Decemberists	7ITd48RbLVpUfheE7B86o2	The Decemberists	1.0
212	Bob Dylan	74ASZWbe4lXaubB36ztrGX	Bob Dylan	1.0
213	Jacques Brel	4RN2vlFWepLa46qQIU2PHs	Jacques Brel	1.0
214	DeVotchKa	0hk8VgR64voU5ueK96W2DI	DeVotchKa	1.0
215	Jeff Buckley	3nnQpaTvKb5jCQabZefACI	Jeff Buckley	1.0
216	Sparklehorse	64tVHZVSAZhDEiOJxnb6hE	Sparklehorse	1.0
217	Death Cab for Cutie	0YrtvWJMgSdVrk3SfNjTbx	Death Cab for Cutie	1.0
218	Man Man	7rEIUw67hRTgievwuKQGSj	maNga	0.6666666666666667
219	M. Ward	6nXSnNEdLuKTzAQozRtqiI	M. Ward	1.0
220	Red Hot Chili Peppers	0L8ExT028jH3ddEcZwqJJ5	Red Hot Chili Peppers	1.0
221	Travis	3bUwxJgNakzYKkqAVgZLlh	Travis	1.0
222	Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Modest Mouse	1.0
223	Band of Horses	0OdUWJ0sBjDrqHygGUXeCF	Band of Horses	1.0
225	Interpol	3WaJSfKnzc65VDgmj2zU8B	Interpol	1.0
226	Queens of the Stone Age	4pejUc4iciQfgdX6OKulQn	Queens of the Stone Age	1.0
227	The Beatles	3WrFJ7ztbogyGnTHbHJFl2	The Beatles	1.0
228	Kings of Leon	2qk9voo8llSGYcZ6xrBzKx	Kings of Leon	1.0
229	The Killers	0C0XlULifJtAgn6ZNCW2eu	The Killers	1.0
230	Green Day	7oPftvlwr6VrsViSDV7fJY	Green Day	1.0
231	Devendra Banhart	1YZEoYFXx4AxVv13OiOPvZ	Devendra Banhart	1.0
232	Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Sunset Rubdown	1.0
233	Nine Inch Nails	0X380XXQSNBYuleKzav5UO	Nine Inch Nails	1.0
234	Nirvana	6olE6TJLqED3rqDCT0FyPh	Nirvana	1.0
235	Eels	3zunDAtRDg7kflREzWAhxl	Eels	1.0
236	Clap Your Hands Say Yeah	1jSaZgaKHmgc7VTgML528r	Clap Your Hands Say Yeah	1.0
237	Thom Yorke	4CvTDPKA6W06DRfBnZKrau	Thom Yorke	1.0
238	Massive Attack	6FXMGgJwohJLUSr5nVlf9X	Massive Attack	1.0
239	Keyshia Cole	1vfezMIyCr4XUdYRaKIKi3	Keyshia Cole	1.0
240	Racionais MC's	29CQLw9uLWsl8Qkz9holfr	Racionais MC's	1.0
241	Toni Braxton	3X458ddYA2YcVWuVIGGOYe	Toni Braxton	1.0
242	Elo da Corrente	208xLawVEQeZUnQe2FKrZe	Elo Da Corrente	1.0
243	Teta Lando	73WKmVyZVoX6HEonRILp0b	Teta Lando	1.0
244	Flagelo Urbano	0EsWgcElXh00qNTYyIisI5	Flagelo Urbano	1.0
245	Bob Marley & The Wailers	2QsynagSdAqZj3U9HgDzjD	Bob Marley & The Wailers	1.0
246	Adriana Calcanhotto	72f733zGuCPEzCSLs9wOVi	Adriana Calcanhotto	1.0
247	Maxwell	0b62itBWBdLgiecXjXCqKC	Maxwell	1.0
248	Pharoahe Monch	5DKuVtlpDH0agZQUFDy8O7	Pharoahe Monch	1.0
249	Common	2GHclqNVjqGuiE5mA7BEoc	Common	1.0
250	Bob Marley	6BH2lormtpjy3X9DyrGHVj	Bob Marley	1.0
251	Whitney Houston	6XpaIBNiVzIetEPCWDvAFP	Whitney Houston	1.0
252	Tamia	0le01dl1WllSHhjEXRl4in	Tamia	1.0
253	Bryan Adams	3Z02hBLubJxuFJfhacLSDc	Bryan Adams	1.0
254	Lokua Kanza	7vzd67tdMCwnIfIU6TX6Nk	Lokua Kanza	1.0
255	Nach	66ArjpKRgw8vYBf9yhktto	Nach	1.0
256	Kid Abelha	4bOZtegYNmYOe3gMgPtt0H	Kid Abelha	1.0
257	Mariah Carey	4iHNK0tOyZPYnBU7nGAgpQ	Mariah Carey	1.0
258	Tina Turner	1zuJe6b1roixEKMOtyrEak	Tina Turner	1.0
259	9th Wonder	4s8ZGMVf3OiPktSP4ulpqU	9th Wonder	1.0
260	Floetry	0un6YenPxWZ2VW4aFGMupM	Floetry	1.0
261	Marisa Monte	0rSTXALHu0EKAawPLBdODH	Marisa Monte	1.0
262	Mary J. Blige	1XkoF8ryArs86LZvFOkbyr	Mary J. Blige	1.0
263	Jill Scott	6AVLthptCPhfrxlHadOBJD	Jill Scott	1.0
264	Sara Tavares	57zZoaRDFEjqRwq6FlT0va	Sara Tavares	1.0
265	Céline Dion	4S9EykWXhStSc15wEx8QFK	Céline Dion	1.0
266	Erykah Badu	7IfculRW2WXyzNQ8djX8WX	Erykah Badu	1.0
267	Nas	3L7L7o7SKkWI8wsU43ycRl	Artist Rescue	0.25
268	Richard Marx	0grdhNhiRLFBaFVyybqsj6	Richard Marx	1.0
269	Dru Hill	1255GTUKNCLCTvH9ctD4cT	Dru Hill	1.0
270	Maria Bethânia	3f5VCwd57gZsqMad28jyLV	Maria Bethânia	1.0
271	Mos Def	0Mz5XE0kb1GBnbLQm2VbcO	Mos Def	1.0
272	Faith Evans	5NDMothbpdpq2xHqSjrrWn	Faith Evans	1.0
273	Avant	0AunegKKH2ys98aLxq8G1A	Avant	1.0
274	Bob da Rage Sense	7uRHuQ5a3X5xWQFlLoPcoT	Bob Da Rage Sense	1.0
275	Angie Stone	2hWr3AjjKOCVmWcwvuT4uM	Angie Stone	1.0
276	Gang Starr	5cMgGlA1xGyeAB2ctYlRdZ	Gang Starr	1.0
277	Papa Wemba	6a4cdntqTPN10fph5A8zRQ	Papa Wemba	1.0
278	2Pac	1ZwdS5xdxEREPySFridCfh	2Pac	1.0
279	Brandy	05oH07COxkXKIMt6mIPRee	Brandy	1.0
280	Sam the Kid	3NEQ5t2FprBMLmDAP0EPcE	Sam The Kid	1.0
281	Dealema	2UCac8rxE1lJ1lQHhZ3l7I	Dealema	1.0
282	Boss AC	2AiLSd9HXwfFwO9g00s2hk	Boss AC	1.0
283	Ana Carolina	4HP9KltldfmkH2M2pQozzN	Ana Carolina	1.0
284	Dilated Peoples	56OMwqr8qaLIRH4ZrvvdXq	Dilated Peoples	1.0
285	Janet Jackson	4qwGe91Bz9K2T8jXTZ815W	Janet Jackson	1.0
286	Peter Tosh	0oea1hwGMfUxZbLxJc1XUN	Peter Tosh	1.0
287	Monica	6nzxy2wXs6tLgzEtqOkEi2	Monica	1.0
288	Rihanna	5pKCCKE2ajJHZ9KAiaK11H	Rihanna	1.0
289	Britney Spears	26dSoYclwsYLMAKD3tpOr4	Britney Spears	1.0
290	Jordin Sparks	2AQjGvtT0pFYfxR3neFcvz	Jordin Sparks	1.0
291	Kelly Clarkson	3BmGtnKgCSGYIUhmivXKWX	Kelly Clarkson	1.0
292	Christina Aguilera	1l7ZsJRRS8wlW3WfJfPfNS	Christina Aguilera	1.0
293	Ashlee Simpson	4hqDqHtBlgxXpLXVYf7c8L	Ashlee Simpson	1.0
294	Leona Lewis	5lKZWd6HiSCLfnDGrq9RAm	Leona Lewis	1.0
295	Beyoncé	6vWDO969PvNqNYHIOW5v0m	Beyoncé	1.0
296	Sugababes	7rZNSLWMjTbwdLNskFbzFf	Sugababes	1.0
297	David Cook	4SQxI8xg6LcSWL3KuGVHLa	David Cook	1.0
298	Lily Allen	13saZpZnCDWOI9D4IJhp1f	Lily Allen	1.0
299	Jennifer Lopez	2DlGxzQSjYe5N6G9nkYghR	Jennifer Lopez	1.0
300	Katy Perry	6jJ0s89eD6GaHleKKya26X	Katy Perry	1.0
301	Alicia Keys	3DiDSECUqqY1AuBP8qtaIa	Alicia Keys	1.0
302	P!nk	1KCSPY1glIKqW2TotWuXOR	P!nk	1.0
303	Panic at the Disco	20JZFwl6HVl6yg8a4H3ZqK	Panic! At The Disco	0.972972972972973
304	David Archuleta	2C9n4tQgNLhHPhSCmdsQnk	David Archuleta	1.0
305	Katharine McPhee	5oWOx0BBDSMoFB8JDrjQre	Katharine McPhee	1.0
306	Black Eyed Peas	1yxSLGMDHlW21z4YXirZDS	Black Eyed Peas	1.0
307	Kate Voegele	7whckrkkTMEuvqfaNfMs7S	Kate Voegele	1.0
308	Kat DeLuna	0bOlhT8OcoC1lCpN69NcFP	Kat Deluna	1.0
309	Danity Kane	3FD9VAd0ppjmKbfxF4LzUh	Danity Kane	1.0
310	Nelly Furtado	2jw70GZXlAI8QzWeY2bgRc	Nelly Furtado	1.0
311	Natasha Bedingfield	7o95ZoZt5ZYn31e9z1Hc0a	Natasha Bedingfield	1.0
312	Cassie	27FGXRNruFoOdf1vP8dqcH	Cassie	1.0
313	Allison Iraheta	48E5csclQ92SrzSRQmEeC4	Allison Iraheta	1.0
314	Ciara	2NdeV5rLm47xAvogXrYhJX	Ciara	1.0
316	Alanis Morissette	6ogn9necmbUdCppmNnGOdi	Alanis Morissette	1.0
317	Keri Hilson	63wjoROpeh5f11Qm93UiJ1	Keri Hilson	1.0
318	Hilary Duff	2S9W9aSAd7e5mp8WqWxN2h	Hilary Duff	1.0
319	Haley James Scott	7y4JSWyptLDbIWn5LOhydr	Haley James Scott	1.0
320	Fergie	3r17AfJCCUqC9Lf0OAc73G	Fergie	1.0
321	Jonas Brothers	7gOdHgIoIKoe4i9Tta6qdD	Jonas Brothers	1.0
322	Ashanti	5rkVyNGXEgeUqKkB5ccK83	Ashanti	1.0
323	The Saturdays	15qI5w4XJFLRMwOp2VrlD5	The Saturdays	1.0
324	Cobra Starship	2aYJ5LAta2ScCdfLhKgZOY	Cobra Starship	1.0
325	Ashley Tisdale	2ddxtfC0oS8LoktXUHE7YL	Ashley Tisdale	1.0
326	JoJo	5xuNBZoM7z1Vv8IQ6uM0p6	JoJo	1.0
327	Chris Brown	7bXgB6jMjp9ATFy66eO08Z	Chris Brown	1.0
328	David Guetta	1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	1.0
329	Justin Timberlake	31TPClRtHm23RisEBtV3X7	Justin Timberlake	1.0
330	T.I.	2bPh6UXbS7wZ7tyN35kFEG	Artistic Raw	0.25
331	Kanye West	5K4W6rqBFWDnAN6FQUkS6x	Kanye West	1.0
332	Kelly Rowland	3AuMNF8rQAKOzjYppFNAoB	Kelly Rowland	1.0
333	Avril Lavigne	0p4nmQO2msCgU4IF37Wi3j	Avril Lavigne	1.0
334	No Angels	3MzJcP62FVm6yKcprsiT7r	No Angels	1.0
335	Sandy	4ZfTpxwHwtot9Ps59bXAF8	Sandy	1.0
336	Vanessa Petruo	38psIQa5emL8PqlJBy0apu	Vanessa Petruo	1.0
337	Alexander	6sFHvCyqklnJpXC9Nh1aag	Alexander 23	0.8571428571428572
338	Queensberry	7nkSJXD0RL6Fy5Hmad0nVb	Queensberry	1.0
339	Fady Maalouf	4wkgjCUcSuGQtfdbCZMcbP	Fady Maalouf	1.0
340	Cher	72OaDtakiy6yFqkt4TsiFt	Cher	1.0
341	Barbara Schöneberger	0PBbw0dPCpMMf5xOX3y0EA	Barbara Schöneberger	1.0
342	Colbie Caillat	6aZyMrc4doVtZyKNilOmwu	Colbie Caillat	1.0
343	Annett Louisan	0kcGSitPHYyZ9B7bP7wJo8	Annett Louisan	1.0
344	Taylor Swift	06HL4z0CvFAxyc27GXpf02	Taylor Swift	1.0
345	Nadja Benaissa	7wmTZXEmSFQfQdVrEPvVEC	Nadja Benaissa	1.0
346	Lena	5slpk6nu2IwwKx0EHe3GcL	Lena	1.0
